outcome,model_stage,model_purpose,theoretical_block_for_stage,outcome_family,modeling_priority,recommended_modeling_status,mandatory_controls,optional_controls_for_review,suggested_predictors,model_status,reviewer_note
a_H1CO6_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,ready_for_script10_specification,
a_H1CO6_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PR2,ready_for_script10_specification,
a_H1CO6_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,ready_for_script10_specification,
a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO6_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,ready_for_script10_specification,
a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16A_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1RM1; num_H1WP14,ready_for_script10_specification,
a_H1CO16A_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16A_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,ready_for_script10_specification,
a_H1CO16A_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16A_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16A_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,ready_for_script10_specification,
a_H1CO16C_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16C_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_PA21,ready_for_script10_specification,
a_H1CO16C_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16C_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,ready_for_script10_specification,
a_H1CO16C_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16C_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1CO16C_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,ready_for_script10_specification,
a_H1CO16D_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1CO16D_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,review_before_modeling,a_age_wave1; a_female; a_grade_wave1,,,review_before_script10,
a_H1HS9_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1HS9_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,ready_for_script10_specification,
a_H1HS9_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1ED19; num_H1ED24; num_H1ED20; num_H1PR2; num_H1ED23,ready_for_script10_specification,
a_H1HS9_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,ready_for_script10_specification,
a_H1HS9_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PF9,ready_for_script10_specification,
a_H1HS9_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1HS9_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,hiv_sti_or_sexual_health,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,ready_for_script10_specification,
a_H1FP7_yesno,M0_core_controls,Baseline model with mandatory controls.,core_sociodemographic_controls,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1FP7_yesno,M1_family_context,Assess family and household context net of core controls.,family_household_context,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,ready_for_script10_specification,
a_H1FP7_yesno,M2_school_context,Assess school and educational context net of core controls.,school_educational_context,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1FP7_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",knowledge_attitudes_perceptions,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13,ready_for_script10_specification,
a_H1FP7_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,peers_relationship_context,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1PF12,ready_for_script10_specification,
a_H1FP7_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,general_risk_behaviors,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,,ready_for_script10_specification,
a_H1FP7_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,final_combined,pregnancy_or_reproductive_experience,secondary_if_cases_sufficient,recommended_for_script10_secondary_model,a_age_wave1; a_female; a_grade_wave1,,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,ready_for_script10_specification,
