thesis_section,thesis_item_code,item_short_description,theoretical_model,construct,variable_role,response_scale,expected_add_health_equivalent,add_health_wave,add_health_file_or_codebook,add_health_variable_name,add_health_variable_label,public_use_status,mapping_quality,notes,script02_documentation_status,script02_next_action
Health questions,SEP3,Preference for violent death rather than AIDS death,Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Perceived seriousness or fear of AIDS,NA,NA,NA,NA,to_be_verified,to_be_verified,Sensitive wording; unlikely equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,SEP4,AIDS as probably the worst disease,Health Belief Model,Perceived severity,Explanatory construct,likert_agreement_5,Perceived seriousness of HIV/AIDS,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS severity indicator.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BEP1,Condom use reduces probability of AIDS,Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,Belief that condom use prevents HIV/STI,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS benefit construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BEP2,Worth carrying condoms,Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,Perceived benefit of condom availability,NA,NA,NA,NA,to_be_verified,to_be_verified,May have behavioural or attitude equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BEP3,One sexual partner reduces probability of AIDS,Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,Belief in monogamy or partner reduction as prevention,NA,NA,NA,NA,to_be_verified,to_be_verified,May have approximate equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BEP4,Worth abstaining if no condom is available,Health Belief Model,Perceived benefits,Explanatory construct,likert_agreement_5,Belief in abstinence or delay when protection unavailable,NA,NA,NA,NA,to_be_verified,to_be_verified,Bridge to intention to delay sex.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BAP1,Condom use may be seen by partner as an insult,Health Belief Model,Perceived barriers,Explanatory construct,likert_agreement_5,Partner-related barrier to condom use,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS barrier construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BAP2,Embarrassment in buying condoms,Health Belief Model,Perceived barriers,Explanatory construct,likert_agreement_5,Embarrassment or access barrier to condoms,NA,NA,NA,NA,to_be_verified,to_be_verified,MCS barrier construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,BAP3,Reduced pleasure with condom use,Health Belief Model,Perceived barriers,Explanatory construct,likert_agreement_5,Pleasure-related barrier to condom use,NA,NA,NA,NA,to_be_verified,to_be_verified,Direct equivalent uncertain.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF1,Ability to use a condom correctly,Health Belief Model / Planned Behaviour,Condom self-efficacy,Explanatory construct,self_efficacy_certainty_5,Condom-use self-efficacy,NA,NA,NA,NA,to_be_verified,to_be_verified,Important bridge between MCS and TCP.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF2,Ability to use a condom every time,Health Belief Model / Planned Behaviour,Condom self-efficacy,Explanatory construct,self_efficacy_certainty_5,Consistent condom-use self-efficacy,NA,NA,NA,NA,to_be_verified,to_be_verified,Central self-efficacy item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF3,Ability to use condom after alcohol consumption,Health Belief Model / Planned Behaviour,Condom self-efficacy under risk,Explanatory construct,self_efficacy_certainty_5,Condom self-efficacy in risky contexts,NA,NA,NA,NA,to_be_verified,to_be_verified,May have approximate equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF4,Ability to insist on condom use if partner refuses,Health Belief Model / Planned Behaviour,Negotiation self-efficacy,Explanatory construct,self_efficacy_certainty_5,Condom negotiation self-efficacy,NA,NA,NA,NA,to_be_verified,to_be_verified,Very important for TCP control.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF5,Ability to refuse sex without condom,Health Belief Model / Planned Behaviour,Refusal self-efficacy,Explanatory construct,self_efficacy_certainty_5,Refusal self-efficacy,NA,NA,NA,NA,to_be_verified,to_be_verified,Important protective construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF6,Financial ability to buy condoms,Health Belief Model / Planned Behaviour,Access self-efficacy,Explanatory construct,self_efficacy_certainty_5,Financial access to condoms,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to access barriers.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Health questions,AEF7,Ability to enter a shop and buy condoms,Health Belief Model / Planned Behaviour,Access self-efficacy,Explanatory construct,self_efficacy_certainty_5,Comfort buying condoms,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to embarrassment or access.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,INA1,Knows someone infected with HIV/AIDS,Health Belief Model,Exposure to HIV/AIDS information,Contextual or knowledge variable,yes_no,Knows someone with HIV/AIDS,NA,NA,NA,NA,to_be_verified,to_be_verified,Possible perceived risk correlate.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,INA2,Discussed HIV/AIDS with friends or colleagues,Health Belief Model / Socioecological,Peer discussion,Information and peer context,yes_no,Talked with friends about HIV/STI,NA,NA,NA,NA,to_be_verified,to_be_verified,Peer communication variable.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,INA3,Followed HIV/AIDS information through media,Health Belief Model,Media information exposure,Information variable,yes_no,Media exposure to HIV/STI information,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to health information exposure.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,INA4,Teachers discussed HIV/AIDS at school,Socioecological model,School-based information,School context variable,yes_no,School HIV/STI education,NA,NA,NA,NA,to_be_verified,to_be_verified,Important school-level exposure.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS1,AIDS means Acquired Immunodeficiency Syndrome,Health Belief Model,HIV/AIDS factual knowledge,Knowledge item,true_false,HIV/AIDS knowledge item,NA,NA,NA,NA,to_be_verified,to_be_verified,Can contribute to knowledge index.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS2,Most people with AIDS recover,Health Belief Model,HIV/AIDS factual knowledge,Knowledge item,true_false,HIV/AIDS misconception item,NA,NA,NA,NA,to_be_verified,to_be_verified,Reverse-coded if incorrect.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS3,HIV is found in blood,Health Belief Model,HIV/AIDS factual knowledge,Knowledge item,true_false,HIV transmission knowledge,NA,NA,NA,NA,to_be_verified,to_be_verified,Knowledge index candidate.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS4,HIV/AIDS can be contracted from toilet seats,Health Belief Model,HIV/AIDS misconception,Knowledge item,true_false,HIV misconception item,NA,NA,NA,NA,to_be_verified,to_be_verified,Reverse-coded if incorrect.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS5,HIV/AIDS can be contracted from shared swimming pool,Health Belief Model,HIV/AIDS misconception,Knowledge item,true_false,HIV misconception item,NA,NA,NA,NA,to_be_verified,to_be_verified,Reverse-coded if incorrect.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS6,HIV/AIDS can be contracted from deep kissing,Health Belief Model,HIV/AIDS misconception,Knowledge item,true_false,HIV misconception item,NA,NA,NA,NA,to_be_verified,to_be_verified,Depends on Add Health items.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS7,Good idea to ask partner about past sexual practices,Health Belief Model / Planned Behaviour,Preventive communication,Knowledge or attitude item,true_false,Partner communication about sexual history,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to communication or attitude.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS8,Condom use reduces probability of AIDS,Health Belief Model,HIV prevention knowledge,Knowledge item,true_false,Condom effectiveness knowledge,NA,NA,NA,NA,to_be_verified,to_be_verified,Strong candidate for knowledge index.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
HIV/AIDS knowledge,CVS9,Abstinence is safer than sex with condom,Health Belief Model,HIV prevention knowledge,Knowledge item,true_false,Abstinence or prevention belief,NA,NA,NA,NA,to_be_verified,to_be_verified,Requires careful coding.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,AIS1,Wrong to have sexual relations while minor,Theory of Planned Behaviour,Attitude toward sexual initiation,Explanatory construct,likert_agreement_5,Attitudes toward adolescent sex,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to attitudes about sex timing.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,AIS2,Adolescents would be better if they said no to sex,Theory of Planned Behaviour,Attitude toward delaying sex,Explanatory construct,likert_agreement_5,Attitude toward abstinence or delay,NA,NA,NA,NA,to_be_verified,to_be_verified,Bridge to intention to delay sex.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,AIS3,Delaying sex until adulthood is important,Theory of Planned Behaviour,Attitude toward delaying sex,Explanatory construct,likert_agreement_5,Importance of delaying sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Core attitude item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,APC1,Condom and contraceptive should always be used by sexually active adolescents,Theory of Planned Behaviour,Attitude toward condom/contraceptive use,Explanatory construct,likert_agreement_5,Attitude toward condom/contraceptive use,NA,NA,NA,NA,to_be_verified,to_be_verified,Core TCP attitude item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,APC2,Condom or contraceptive should always be used even if partners know each other well,Theory of Planned Behaviour,Attitude toward consistent protection,Explanatory construct,likert_agreement_5,Attitude toward consistent condom use,NA,NA,NA,NA,to_be_verified,to_be_verified,Core TCP attitude item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,APC3,Another contraceptive should always be used even if the boy uses a condom,Theory of Planned Behaviour,Attitude toward dual protection,Explanatory construct,likert_agreement_5,Attitude toward contraception or dual protection,NA,NA,NA,NA,to_be_verified,to_be_verified,May map to contraception attitudes.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EPC1,Not very difficult to buy condoms or contraceptives,Theory of Planned Behaviour,Perceived behavioural control,Explanatory construct,likert_agreement_5,Ease of buying condoms/contraceptives,NA,NA,NA,NA,to_be_verified,to_be_verified,TCP control item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EPC2,Not very difficult to have condom or contraceptive available when needed,Theory of Planned Behaviour,Perceived behavioural control,Explanatory construct,likert_agreement_5,Ease of having protection available,NA,NA,NA,NA,to_be_verified,to_be_verified,TCP control item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EPC3,Could convince partner to use condom or contraceptive,Theory of Planned Behaviour,Negotiation self-efficacy,Explanatory construct,likert_agreement_5,Partner negotiation for condom/contraceptive use,NA,NA,NA,NA,to_be_verified,to_be_verified,TCP control item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EIS1,Can delay sexual initiation until adulthood,Theory of Planned Behaviour,Self-efficacy to delay sex,Mediator or explanatory construct,likert_agreement_5,Self-efficacy to delay sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Relevant for mediation model.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EIS2,Can say no if liked person wants sex,Theory of Planned Behaviour,Refusal self-efficacy,Mediator or explanatory construct,likert_agreement_5,Ability to refuse sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Relevant for mediation model.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,EIS3,Friends will not pressure to have sex,Theory of Planned Behaviour / Socioecological,Peer pressure control,Mediator or peer-norm construct,likert_agreement_5,Peer pressure about sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Can also map to peer norms.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NPP1,Most friends believe condoms or contraceptives should always be used,Theory of Planned Behaviour,Peer subjective norm,Explanatory construct,likert_agreement_5,Friends' norms about condom/contraceptive use,NA,NA,NA,NA,to_be_verified,to_be_verified,Core TCP norm item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NPP2,Most friends believe condom should always be used even if girl uses pills,Theory of Planned Behaviour,Peer subjective norm,Explanatory construct,likert_agreement_5,Friends' norms about condom use,NA,NA,NA,NA,to_be_verified,to_be_verified,Core TCP norm item.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NPP3,Most friends use contraceptive methods when having sex,Theory of Planned Behaviour,Descriptive peer norm,Explanatory construct,likert_agreement_5,Perceived friends' contraceptive use,NA,NA,NA,NA,to_be_verified,to_be_verified,Descriptive norm.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NP4,Most friends have not yet had sexual relations,Theory of Planned Behaviour,Descriptive peer norm,Explanatory construct,likert_agreement_5,Friends' sexual activity,NA,NA,NA,NA,to_be_verified,to_be_verified,Peer environment variable.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NP5,Best friends think respondent should delay sexual initiation,Theory of Planned Behaviour,Injunctive peer norm,Explanatory construct,likert_agreement_5,Friends' approval of delaying sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Relevant for intention to delay.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,NP6,Friends think people of this age should wait until grown before sex,Theory of Planned Behaviour,Injunctive peer norm,Explanatory construct,likert_agreement_5,Peer norms about delaying sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Relevant for intention to delay.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,IPS1,Intends to delay sexual initiation until grown or adulthood,Theory of Planned Behaviour,Intention to delay sex,Dependent variable or mediator,likert_agreement_5,Intention to delay sex,NA,NA,NA,NA,to_be_verified,to_be_verified,Central TCP outcome.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,IPS2,Intends to abstain from sex until marriage or union,Theory of Planned Behaviour,Intention to abstain,Dependent variable or mediator,likert_agreement_5,Intention to abstain,NA,NA,NA,NA,to_be_verified,to_be_verified,Cultural equivalence may differ.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,IPC1,"If having sex next year, intends to always use condom",Theory of Planned Behaviour,Intention to use condom,Dependent variable,likert_agreement_5,Intention to use condoms,NA,NA,NA,NA,to_be_verified,to_be_verified,Central TCP outcome.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Planned Behaviour constructs,IPC2,"If having sex next year, intends to always use effective contraception",Theory of Planned Behaviour,Intention to use contraception,Dependent variable,likert_agreement_5,Intention to use contraception,NA,NA,NA,NA,to_be_verified,to_be_verified,Central TCP outcome.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Family,LFA1,Parents generally know where respondent is,Socioecological model / Planned Behaviour mediation,Family monitoring,Contextual predictor,likert_agreement_5,Parental monitoring: parents know whereabouts,NA,NA,NA,NA,to_be_verified,to_be_verified,Important for family-connection construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Family,LFA2,"Parents, relatives or tutors know who respondent is with",Socioecological model / Planned Behaviour mediation,Family monitoring,Contextual predictor,likert_agreement_5,Parental monitoring: parents know friends,NA,NA,NA,NA,to_be_verified,to_be_verified,Important for family-connection construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Family,LFA3,"Can count on parents, relatives or tutors when having problems",Socioecological model / Planned Behaviour mediation,Family support,Contextual predictor,likert_agreement_5,Parent-family support or connectedness,NA,NA,NA,NA,to_be_verified,to_be_verified,Important for mediation and socioecological models.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q01,Support from adults and staff at school,Socioecological model,School adult support,Qualitative construct,open_text,School connectedness and adult support,NA,NA,NA,NA,to_be_verified,to_be_verified,Can guide qualitative comparison or variable search.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q02,Positive peer group,Socioecological model,Positive peer environment,Qualitative construct,open_text,Peer group and school climate,NA,NA,NA,NA,to_be_verified,to_be_verified,Qualitative construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q03,Commitment to education and teacher attention,Socioecological model,Educational commitment,Qualitative construct,open_text,School engagement or school attachment,NA,NA,NA,NA,to_be_verified,to_be_verified,Important school connection construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q04,Positive or negative school climate,Socioecological model,School climate,Qualitative construct,open_text,School climate and school belonging,NA,NA,NA,NA,to_be_verified,to_be_verified,Important school connection construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q05,Family and community involvement in school,Socioecological model,Family/community involvement,Qualitative construct,open_text,Parent-school involvement or community support,NA,NA,NA,NA,to_be_verified,to_be_verified,May have limited Add Health equivalent.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q06,Sense of belonging or connection to school,Socioecological model,School connectedness,Qualitative construct,open_text,School connectedness,NA,NA,NA,NA,to_be_verified,to_be_verified,Key socioecological construct.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
Mixed questionnaire: school connection,Q07,School and older people as sources of sexual health knowledge,Socioecological model / Health Belief Model,School-based sexual health knowledge,Qualitative construct,open_text,Sex education at school or adult communication about sexual health,NA,NA,NA,NA,to_be_verified,to_be_verified,Bridge between school context and HIV/pregnancy prevention.,ready_for_codebook_review_questionnaires_pending,Search ICPSR Variables and Add Health Codebook Explorer using Script 01b keywords
