model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,1,1705,1705,53,1652,53,1652,5395415.194652671,154842.804055062,2.8698959851787644,fitted,,,18,1687,443.94832085892324,351.59729309178664,0.9574686341232581
main_grade_10_12__a_H1CO16A_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO16A_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO16A_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO16A_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO16A_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16A_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,1,1016,1016,23,993,23,993,3302114.364351778,76655.345372025,2.3214018932706724,fitted,,,31,985,224.12308179063822,132.90272421589586,1.1020287246722242
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1764,1764,25,1739,25,1739,5609344.634380597,66382.365302251,1.1834246178311554,fitted,,,4,1760,226.74324352240595,222.60956528323652,0.9981664850421917
main_grade_10_12__a_H1CO16C_yesno__M1_family_context,main_grade_10_12,a_H1CO16C_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_PA21,a_age_wave1; a_grade_wave1; num_PA21,1,1429,1429,23,1406,23,1406,4564205.826977946,60626.608658878,1.328305754760848,fitted,,,5,1424,201.7578476773405,193.50565622791146,0.8852599039525145
main_grade_10_12__a_H1CO16C_yesno__M2_school_context,main_grade_10_12,a_H1CO16C_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO16C_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16C_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,1,1718,1718,24,1694,24,1694,5448260.851138893,64205.1834941,1.178452817300014,fitted,,,18,1700,220.07417186413713,166.2177579615673,1.2174282395450706
main_grade_10_12__a_H1CO16C_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO16C_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO16C_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO16C_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO16C_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16C_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,1,1395,1395,22,1373,22,1373,4448681.0506245075,58449.426850727,1.3138596852773217,fitted,,,31,1364,195.21894531977588,132.92193350719756,0.686686792483045
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1756,1756,1200,556,1200,556,5581873.58834999,3827744.486663493,68.57454627156793,fitted,,,4,1752,2186.088635035831,2179.0896436845496,1.000339636675622
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,1,1031,1031,716,315,716,315,3370212.612210957,2356124.320448096,69.9102576469919,fitted,,,22,1009,1261.1661530535346,1192.9381529998834,0.9994059120770467
main_grade_10_12__a_H1CO3_yesno__M2_school_context,main_grade_10_12,a_H1CO3_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2; num_H1ED20,a_age_wave1; a_grade_wave1; num_H1PR2; num_H1ED20,1,1755,1755,1199,556,1199,556,5578034.169996688,3823905.068310191,68.55291580819522,fitted,,,13,1742,2185.435757903271,2152.9004444369925,1.0016331713622728
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,1,1736,1736,1187,549,1187,549,5520585.183871227,3789751.842831643,68.64764724405785,fitted,,,26,1710,2159.2053637153413,2003.1064462518284,0.9953217543105147
main_grade_10_12__a_H1CO3_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO3_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,1729,1729,1185,544,1185,544,5476397.695312639,3774569.613511527,68.9243152801386,fitted,,,8,1721,2142.939523765939,2117.0664118028626,1.0002500018260718
main_grade_10_12__a_H1CO3_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO3_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,1,1722,1722,1181,541,1181,541,5468617.853631296,3769774.859416961,68.93469173227635,fitted,,,56,1666,2133.9788976607983,1931.09610874525,0.9903605751045228
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1749,1749,1203,546,1203,546,5561251.759330382,3839182.669185804,69.0345058150734,fitted,,,4,1745,2164.6473956737887,2154.1473748232797,1.0001150387742839
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,1,1581,1581,1098,483,1098,483,5012246.698753484,3505923.552601662,69.94714672511161,fitted,,,26,1555,1932.9668423175785,1848.9433429753215,0.9967905993571415
main_grade_10_12__a_H1CO6_yesno__M2_school_context,main_grade_10_12,a_H1CO6_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2,a_age_wave1; a_grade_wave1; num_H1PR2,1,1748,1748,1202,546,1202,546,5557412.34097708,3835343.250832502,69.01311285745244,fitted,,,9,1739,2164.008987217642,2137.0959002207774,0.9999033371958804
main_grade_10_12__a_H1CO6_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO6_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,1,1727,1727,1188,539,1188,539,5493962.691220043,3798973.56455046,69.14815003424827,fitted,,,25,1702,2134.261666240113,1909.388483178716,0.9972982274554476
main_grade_10_12__a_H1CO6_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO6_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,1,1688,1688,1169,519,1169,519,5354740.61161799,3737014.78632707,69.78890402681695,fitted,,,56,1632,2068.2804655349355,1744.9437058500876,1.0077632513424124
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,402,402,247,155,247,155,1302085.615583309,825327.048939056,63.38500625931003,fitted,,,4,398,528.1273161723373,521.8790787756932,1.0020652560128682
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1WP1; num_H1WP14; num_H1WP8,1,252,252,148,104,148,104,833892.659502637,500139.521157727,59.97648683657054,fitted,,,15,237,339.24587231267805,316.1854237277892,1.0013551887244716
main_grade_10_12__a_H1CO8_yesno__M2_school_context,main_grade_10_12,a_H1CO8_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO8_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO8_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6,1,347,347,208,139,208,139,1105073.41622231,687508.481137012,62.21382860581857,fitted,,,24,323,460.1272895854673,407.27463939954924,1.009671992718893
main_grade_10_12__a_H1CO8_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO8_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO8_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO8_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,1,225,225,129,96,129,96,743315.118758071,442414.862977588,59.519153023118065,fitted,,,43,182,303.7109524290491,226.27421225610138,1.2585507357545946
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,896,896,163,733,163,733,2822670.218714383,504720.186113637,17.880947719904647,fitted,,,4,892,841.4935082738231,809.9152400553347,1.0108616142113078
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,1,379,379,53,326,53,326,1242519.131294217,165187.060190761,13.294528513110373,fitted,,,15,364,297.09617897639447,246.68684990136813,1.031939006509695
main_grade_10_12__a_H1FP7_yesno__M2_school_context,main_grade_10_12,a_H1FP7_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13,1,857,857,145,712,145,712,2676575.6634928132,440796.514970006,16.468673797728027,fitted,,,18,839,766.7758612783889,632.1947111949564,1.0663554329575435
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,881,881,160,721,160,721,2762915.143896802,495903.250033567,17.948551591568155,fitted,,,8,873,829.2191418922386,782.9248833631309,1.0158058819321951
main_grade_10_12__a_H1FP7_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1FP7_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,1,811,811,128,683,128,683,2525574.417518565,379969.442014303,15.044872143883676,fitted,,,45,766,686.8953487707919,521.8824910288354,1.015153231697511
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,3255,3255,232,3023,232,3023,10406633.674782334,697621.476636519,6.703622885535178,fitted,,,4,3251,1600.8365176911395,1550.9671174656635,1.0017530698574457
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,1,2292,2292,127,2165,127,2165,7519885.725525713,392156.823057316,5.214930616913072,fitted,,,28,2264,938.7837818328796,829.1615753887907,1.0597531334615062
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1ED19; num_H1ED24; num_H1ED20; num_H1PR2; num_H1ED23,a_age_wave1; a_grade_wave1; num_H1ED19; num_H1ED24; num_H1ED20; num_H1PR2; num_H1ED23,1,3246,3246,232,3014,232,3014,10371747.63038225,697621.476636519,6.726170954959962,fitted,,,25,3221,1600.262040378406,1470.7633526252719,0.9891447032850244
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,1,3165,3165,221,2944,221,2944,10067416.303302865,662484.902860477,6.580485825773713,fitted,,glm.fit: algorithm did not converge,18,3147,1535.9724283437408,1.746575238197441e-8,6.868081910061366e-13
main_grade_10_12__a_H1HS9_yesno__M4_peers_relationships,main_grade_10_12,a_H1HS9_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF9,a_age_wave1; a_grade_wave1; num_H1PF9,1,3143,3143,225,2918,225,2918,10003959.341826873,676828.824739064,6.765609511318394,fitted,,,8,3135,1555.994665424076,1497.969615452467,0.991705040933609
main_grade_10_12__a_H1HS9_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1HS9_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
