model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion,model_stage_rank,min_outcome_cell,n_coefficients_reviewed,n_significant_05,n_significant_10,n_extreme_or,n_very_extreme_or,n_or_missing,n_not_estimable_terms,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,n_candidate_for_interpretation,n_coefficients_requiring_review,model_sample_flag,outcome_cell_flag,parameter_pressure_flag,instability_flag,conceptual_review_flag,final_selection_class,suitability_score,selection_priority
main_grade_10_12__a_H1CO16A_yesno__M2_school_context,main_grade_10_12,a_H1CO16A_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16A_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16A_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,1,1705,1705,53,1652,53,1652,5395415.194652671,154842.804055062,2.8698959851787644,fitted,NA,NA,18,1687,443.9483208589232,351.59729309178664,0.957468634123258,5,53,17,9,9,4,2,0,0,0,1,1,3,6,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
main_grade_10_12__a_H1CO16A_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO16A_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16A_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO16A_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16C_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16C_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,1,1395,1395,22,1373,22,1373,4448681.0506245075,58449.426850727,1.3138596852773217,fitted,NA,NA,31,1364,195.21894531977588,132.92193350719756,0.686686792483045,1,22,30,3,4,3,1,0,0,15,5,1,1,21,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1764,1764,25,1739,25,1739,5609344.634380597,66382.365302251,1.1834246178311554,fitted,NA,NA,4,1760,226.74324352240595,222.60956528323652,0.9981664850421916,2,25,3,0,0,0,0,0,0,1,0,0,0,1,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,wide_ci_review,no_automatic_conceptual_overlap_flag,usable_with_caution,75,2
main_grade_10_12__a_H1CO16C_yesno__M1_family_context,main_grade_10_12,a_H1CO16C_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_PA21,a_age_wave1; a_grade_wave1; num_PA21,1,1429,1429,23,1406,23,1406,4564205.826977946,60626.608658878,1.328305754760848,fitted,NA,NA,5,1424,201.7578476773405,193.50565622791143,0.8852599039525145,3,23,4,0,1,0,0,0,0,0,0,0,0,0,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,usable_with_caution,85,2
main_grade_10_12__a_H1CO16C_yesno__M2_school_context,main_grade_10_12,a_H1CO16C_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16C_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO16C_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,1,1718,1718,24,1694,24,1694,5448260.851138893,64205.1834941,1.178452817300014,fitted,NA,NA,18,1700,220.07417186413713,166.2177579615673,1.2174282395450706,5,24,17,4,5,3,1,0,0,4,7,1,0,12,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
main_grade_10_12__a_H1CO16C_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO16C_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO16C_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO16C_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,1,1722,1722,1181,541,1181,541,5468617.853631296,3769774.859416961,68.93469173227635,fitted,NA,NA,56,1666,2133.9788976607983,1931.09610874525,0.9903605751045228,1,541,55,10,11,1,0,0,0,1,0,0,9,2,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,extreme_or_review,no_automatic_conceptual_overlap_flag,usable_with_caution,70,2
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1756,1756,1200,556,1200,556,5581873.58834999,3827744.486663493,68.57454627156793,fitted,NA,NA,4,1752,2186.088635035831,2179.0896436845496,1.000339636675622,2,556,3,0,0,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,1,1031,1031,716,315,716,315,3370212.612210957,2356124.320448096,69.9102576469919,fitted,NA,NA,22,1009,1261.1661530535346,1192.9381529998834,0.9994059120770468,3,315,21,6,6,4,1,0,0,9,1,0,1,13,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO3_yesno__M2_school_context,main_grade_10_12,a_H1CO3_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2; num_H1ED20,a_age_wave1; a_grade_wave1; num_H1PR2; num_H1ED20,1,1755,1755,1199,556,1199,556,5578034.169996688,3823905.068310191,68.55291580819522,fitted,NA,NA,13,1742,2185.435757903271,2152.9004444369925,1.0016331713622728,4,556,12,0,2,0,0,0,0,0,0,0,0,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,1,1736,1736,1187,549,1187,549,5520585.183871227,3789751.842831643,68.64764724405785,fitted,NA,NA,26,1710,2159.2053637153413,2003.1064462518284,0.9953217543105148,5,549,25,9,13,0,0,0,0,0,0,0,9,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO3_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO3_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,1729,1729,1185,544,1185,544,5476397.695312639,3774569.613511527,68.9243152801386,fitted,NA,NA,8,1721,2142.939523765939,2117.0664118028626,1.0002500018260718,6,544,7,2,5,0,0,0,0,0,0,0,2,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO3_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO3_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO6_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO6_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,1,1688,1688,1169,519,1169,519,5354740.61161799,3737014.78632707,69.78890402681695,fitted,NA,NA,56,1632,2068.2804655349355,1744.9437058500876,1.0077632513424124,1,519,55,7,12,0,1,0,0,1,0,0,6,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,55,3
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,1749,1749,1203,546,1203,546,5561251.759330382,3839182.669185804,69.0345058150734,fitted,NA,NA,4,1745,2164.6473956737887,2154.1473748232797,1.000115038774284,2,546,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,1,1581,1581,1098,483,1098,483,5012246.698753484,3505923.552601662,69.94714672511161,fitted,NA,NA,26,1555,1932.9668423175783,1848.9433429753217,0.9967905993571416,3,483,25,9,12,0,2,0,0,4,2,0,7,6,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO6_yesno__M2_school_context,main_grade_10_12,a_H1CO6_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2,a_age_wave1; a_grade_wave1; num_H1PR2,1,1748,1748,1202,546,1202,546,5557412.34097708,3835343.250832502,69.01311285745244,fitted,NA,NA,9,1739,2164.008987217642,2137.095900220778,0.9999033371958804,4,546,8,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO6_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO6_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,1,1727,1727,1188,539,1188,539,5493962.691220043,3798973.56455046,69.14815003424827,fitted,NA,NA,25,1702,2134.261666240113,1909.388483178716,0.9972982274554476,5,539,24,4,5,1,0,0,0,0,0,0,3,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,extreme_or_review,no_automatic_conceptual_overlap_flag,usable_with_caution,80,2
main_grade_10_12__a_H1CO6_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO6_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,1,225,225,129,96,129,96,743315.118758071,442414.862977588,59.519153023118065,fitted,NA,NA,43,182,303.7109524290491,226.27421225610135,1.2585507357545946,1,96,42,4,8,4,2,0,0,15,9,0,1,25,small_model_sample_review,adequate_outcome_cell,high_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,a_age_wave1; a_grade_wave1,1,402,402,247,155,247,155,1302085.615583309,825327.048939056,63.38500625931003,fitted,NA,NA,4,398,528.1273161723373,521.8790787756932,1.0020652560128682,2,155,3,1,1,0,0,0,0,0,0,0,1,0,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,no_major_numerical_instability_flag,no_automatic_conceptual_overlap_flag,technically_stable_candidate,100,1
main_grade_10_12__a_H1CO8_yesno__M1_family_context,main_grade_10_12,a_H1CO8_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1WP1; num_H1WP14; num_H1WP8,1,252,252,148,104,148,104,833892.659502637,500139.521157727,59.97648683657054,fitted,NA,NA,15,237,339.24587231267805,316.1854237277892,1.0013551887244716,3,104,14,2,2,0,0,0,0,4,0,0,2,4,small_model_sample_review,adequate_outcome_cell,moderate_parameter_pressure_review,wide_ci_review,no_automatic_conceptual_overlap_flag,usable_with_caution,45,2
